idbook,title,author,language,code,section,description,physical_state,status,price
17095,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009570,GR,NOVELA,BUEN ESTADO,1,11.99
17096,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009419,GR,NOVELA,BUEN ESTADO,1,11.99
17097,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009420,GR,NOVELA,BUEN ESTADO,1,11.99
17098,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009421,GR,NOVELA,BUEN ESTADO,1,11.99
17099,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009422,GR,NOVELA,BUEN ESTADO,1,11.99
17100,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200528,LG,NOVELA,BUEN ESTADO,1,0
17101,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200488,LG,NOVELA,BUEN ESTADO,1,0
17102,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200474,LG,NOVELA,BUEN ESTADO,1,0
17103,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200405,LG,NOVELA,BUEN ESTADO,1,0
17104,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200404,LG,NOVELA,BUEN ESTADO,1,0
17105,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200406,LG,NOVELA,BUEN ESTADO,1,0
17106,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200407,LG,NOVELA,BUEN ESTADO,1,0
17107,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200408,LG,NOVELA,BUEN ESTADO,1,0
17108,CUPIDO ES UN MURCIÉLAGO,MARÍA FERNANDA HEREDIA,ESPAÑOL,4200409,LG,NOVELA,BUEN ESTADO,1,0
