idloan,aqcisition_date,date_of_devolution,book_idbook,user_iduser,confirm_devolution
205,2024-11-22 09:37:55,NULL,16135,88,0
206,2024-11-22 09:33:59,NULL,14331,81,0
207,2024-11-22 09:32:37,NULL,16233,81,0
208,2024-11-20 13:39:44,NULL,14552,358,0
209,2024-11-20 13:38:44,NULL,15650,358,0
210,2024-11-20 13:37:58,NULL,7560,358,0
211,2024-11-20 13:37:23,NULL,15153,358,0
212,2024-11-20 11:45:47,NULL,10719,420,0
213,2024-11-20 10:03:44,NULL,15371,386,0
214,2024-11-20 10:02:20,NULL,14592,388,0
215,2024-11-20 09:59:40,NULL,14898,392,0
216,2024-11-20 09:01:02,NULL,15250,268,0
217,2024-11-20 08:29:30,NULL,16349,261,0
218,2024-11-20 08:28:56,NULL,14283,261,0
219,2024-11-20 08:25:34,NULL,15377,254,0
220,2024-11-20 08:24:54,NULL,14191,254,0
221,2024-11-20 07:52:55,NULL,16835,178,0
222,2024-11-20 07:52:24,NULL,6602,178,0
223,2024-11-20 07:51:39,NULL,6225,185,0
224,2024-11-20 07:51:07,NULL,2489,185,0
225,2024-11-20 07:49:05,NULL,13051,183,0
226,2024-11-15 10:32:05,NULL,1270,332,0
227,2024-11-15 10:26:00,NULL,14688,332,0
228,2024-11-15 10:19:47,NULL,14392,331,0
229,2024-11-15 09:28:55,NULL,16472,77,0
230,2024-11-15 09:28:19,NULL,316,77,0
231,2024-11-15 09:17:28,NULL,869,7,0
232,2024-11-15 09:15:35,NULL,7113,294,0
233,2024-11-14 13:16:28,NULL,4439,71,0
234,2024-11-14 13:13:26,NULL,12997,76,0
235,2024-11-14 13:11:00,NULL,16729,68,0
236,2024-11-14 13:10:20,NULL,14387,68,0
237,2024-11-14 13:08:31,NULL,6178,76,0
238,2024-11-14 12:59:36,NULL,5847,74,0
239,2024-11-14 11:33:50,NULL,7316,160,0
240,2024-11-14 11:32:53,NULL,15046,160,0
241,2024-11-14 11:29:56,NULL,6832,167,0
242,2024-11-14 11:29:01,NULL,16092,167,0
243,2024-11-14 10:36:50,NULL,6802,293,0
244,2024-11-14 10:31:40,NULL,12899,283,0
245,2024-11-14 10:31:15,NULL,15522,284,0
246,2024-11-14 10:29:01,NULL,5134,281,0
247,2024-11-14 10:28:23,NULL,16443,281,0
248,2024-11-14 08:44:10,NULL,10218,39,0
249,2024-11-14 08:43:35,NULL,12641,39,0
250,2024-11-14 08:42:52,NULL,2273,39,0
251,2024-11-14 08:41:06,NULL,3364,39,0
252,2024-11-14 08:40:38,NULL,16482,39,0
253,2024-11-14 08:39:52,NULL,12630,39,0
254,2024-11-14 08:39:11,NULL,12520,39,0
255,2024-11-14 08:38:36,NULL,9704,39,0
256,2024-11-14 08:38:10,NULL,13043,39,0
257,2024-11-14 08:37:40,NULL,12991,39,0
258,2024-11-14 08:37:06,NULL,16214,39,0
259,2024-11-14 08:36:30,NULL,9711,39,0
260,2024-11-14 08:35:47,NULL,12849,39,0
261,2024-11-14 08:34:48,NULL,10146,39,0
262,2024-11-14 08:34:13,NULL,2346,39,0
263,2024-11-14 08:33:39,NULL,2368,39,0
264,2024-11-14 08:33:09,NULL,12614,39,0
265,2024-11-14 08:32:37,NULL,6870,39,0
266,2024-11-14 08:31:46,NULL,7522,39,0
267,2024-11-14 08:31:19,NULL,16183,39,0
268,2024-11-13 13:44:12,NULL,7748,363,0
269,2024-11-13 13:43:31,NULL,4837,363,0
270,2024-11-13 13:41:02,NULL,7251,372,0
271,2024-11-13 13:40:13,NULL,14160,372,0
272,2024-11-13 12:55:47,NULL,6628,385,0
273,2024-11-13 12:24:07,NULL,14359,429,0
274,2024-11-13 09:49:59,NULL,5555,397,0
275,2024-11-13 09:49:24,NULL,16704,397,0
276,2024-11-13 09:46:20,NULL,14414,390,0
277,2024-11-13 09:45:53,NULL,15992,390,0
278,2024-11-13 08:55:34,NULL,5574,256,0
279,2024-11-13 08:54:35,NULL,14985,265,0
280,2024-11-13 08:50:49,NULL,5158,265,0
281,2024-11-13 08:45:32,NULL,14595,254,0
282,2024-11-13 07:57:10,NULL,13403,176,0
283,2024-11-13 07:56:27,NULL,5911,176,0
284,2024-11-13 07:50:25,NULL,5929,180,0
285,2024-11-13 07:48:26,NULL,14891,187,0
286,2024-11-13 07:47:45,NULL,4789,187,0
287,2024-11-13 07:46:49,NULL,15773,183,0
288,2024-11-12 14:18:42,NULL,16026,222,0
289,2024-11-12 14:18:13,NULL,16954,222,0
290,2024-11-12 14:16:50,NULL,16232,215,0
291,2024-11-12 14:14:53,NULL,15188,211,0
292,2024-11-12 14:14:20,NULL,4981,211,0
293,2024-11-12 14:12:17,NULL,16429,214,0
294,2024-11-12 12:54:32,NULL,16751,307,0
295,2024-11-12 11:56:19,NULL,11874,227,0
296,2024-11-12 11:54:33,NULL,1356,237,0
297,2024-11-12 11:50:58,NULL,994,226,0
298,2024-11-12 11:50:25,NULL,5652,225,0
299,2024-11-12 11:49:17,NULL,17427,236,0
300,2024-11-08 12:51:12,NULL,1533,16,0
301,2024-11-08 12:50:44,NULL,1503,16,0
302,2024-11-08 12:50:18,NULL,1513,16,0
303,2024-11-08 12:49:38,NULL,1802,16,0
304,2024-11-08 12:49:13,NULL,1651,16,0
305,2024-11-08 12:48:48,NULL,1618,16,0
306,2024-11-08 12:48:20,NULL,1643,16,0
307,2024-11-08 12:47:55,NULL,1642,16,0
308,2024-11-08 12:47:27,NULL,1514,16,0
309,2024-11-08 12:46:58,NULL,1512,16,0
310,2024-11-08 12:46:14,NULL,1617,16,0
311,2024-11-08 12:45:41,NULL,1534,16,0
312,2024-11-08 12:45:12,NULL,1616,16,0
313,2024-11-08 12:44:35,NULL,1785,16,0
314,2024-11-08 12:44:11,NULL,1554,16,0
315,2024-11-08 12:43:30,NULL,1739,16,0
316,2024-11-08 12:42:59,NULL,2866,16,0
317,2024-11-08 12:42:29,NULL,1784,16,0
318,2024-11-08 12:42:01,NULL,1666,16,0
319,2024-11-08 12:41:37,NULL,1546,16,0
320,2024-11-08 12:41:06,NULL,1804,16,0
321,2024-11-08 12:40:33,NULL,1549,16,0
322,2024-11-08 12:39:44,NULL,1670,16,0
323,2024-11-08 12:39:04,NULL,11674,16,0
324,2024-11-08 12:38:11,NULL,1662,16,0
325,2024-11-08 10:48:55,NULL,5904,335,0
326,2024-11-08 10:45:50,NULL,7745,335,0
327,2024-11-08 10:37:54,NULL,14256,334,0
328,2024-11-08 08:23:58,NULL,15259,17,0
329,2024-11-08 08:23:26,NULL,5852,17,0
330,2024-11-08 08:22:53,NULL,5989,17,0
331,2024-11-08 08:22:13,NULL,16980,17,0
332,2024-11-08 08:21:50,NULL,6097,17,0
333,2024-11-08 08:21:21,NULL,9406,17,0
334,2024-11-08 08:20:54,NULL,4854,17,0
335,2024-11-08 08:20:27,NULL,5308,17,0
336,2024-11-08 08:20:04,NULL,16036,17,0
337,2024-11-08 08:19:42,NULL,14589,17,0
338,2024-11-08 08:19:20,NULL,14539,17,0
339,2024-11-08 08:18:55,NULL,10690,17,0
340,2024-11-08 08:18:30,NULL,16509,17,0
341,2024-11-08 08:18:04,NULL,4585,17,0
342,2024-11-08 08:17:24,NULL,4848,17,0
343,2024-11-08 08:17:00,NULL,17148,17,0
344,2024-11-08 08:16:35,NULL,17149,17,0
345,2024-11-08 08:16:04,NULL,5576,17,0
346,2024-11-08 08:15:37,NULL,14154,17,0
347,2024-11-08 08:15:07,NULL,16292,17,0
348,2024-11-07 11:34:40,NULL,3241,159,0
349,2024-11-07 11:15:55,NULL,1088,159,0
350,2024-11-07 10:52:23,NULL,15478,292,0
351,2024-11-07 10:51:52,NULL,5877,292,0
352,2024-11-07 10:40:14,NULL,6942,290,0
353,2024-11-06 12:14:23,NULL,2872,189,0
